2025-02-19 15:29:52,328 - INFO - Use pytorch device_name: cpu
2025-02-19 15:29:52,329 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-02-19 15:29:56,803 - INFO - Loading text file...
2025-02-19 15:29:56,803 - ERROR - Startup error: [Errno 2] No such file or directory: 'extracted_text.txt'
2025-02-19 15:31:40,143 - INFO - Use pytorch device_name: cpu
2025-02-19 15:31:40,143 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-02-19 15:31:43,040 - INFO - Loading text file...
2025-02-19 15:31:43,124 - INFO - Chunking text...
2025-02-19 15:31:43,131 - INFO - Computing embeddings...
2025-02-19 15:31:43,131 - INFO - Starting embedding computation for 69 chunks
2025-02-19 15:31:45,287 - INFO - Processed chunk 1/69 (Time: 2.16s, Estimated remaining: 146.63s)
2025-02-19 15:31:45,805 - INFO - Processed chunk 2/69 (Time: 0.52s, Estimated remaining: 89.57s)
2025-02-19 15:31:46,324 - INFO - Processed chunk 3/69 (Time: 0.52s, Estimated remaining: 70.25s)
2025-02-19 15:31:46,709 - INFO - Processed chunk 4/69 (Time: 0.38s, Estimated remaining: 58.14s)
2025-02-19 15:31:47,156 - INFO - Processed chunk 5/69 (Time: 0.45s, Estimated remaining: 51.52s)
2025-02-19 15:31:47,595 - INFO - Processed chunk 6/69 (Time: 0.44s, Estimated remaining: 46.87s)
2025-02-19 15:31:48,063 - INFO - Processed chunk 7/69 (Time: 0.47s, Estimated remaining: 43.68s)
2025-02-19 15:31:48,553 - INFO - Processed chunk 8/69 (Time: 0.49s, Estimated remaining: 41.35s)
2025-02-19 15:31:49,078 - INFO - Processed chunk 9/69 (Time: 0.52s, Estimated remaining: 39.65s)
2025-02-19 15:31:49,549 - INFO - Processed chunk 10/69 (Time: 0.47s, Estimated remaining: 37.87s)
2025-02-19 15:31:50,077 - INFO - Processed chunk 11/69 (Time: 0.53s, Estimated remaining: 36.62s)
2025-02-19 15:31:50,561 - INFO - Processed chunk 12/69 (Time: 0.48s, Estimated remaining: 35.29s)
2025-02-19 15:31:51,056 - INFO - Processed chunk 13/69 (Time: 0.50s, Estimated remaining: 34.14s)
2025-02-19 15:31:51,444 - INFO - Processed chunk 14/69 (Time: 0.39s, Estimated remaining: 32.66s)
2025-02-19 15:31:51,880 - INFO - Processed chunk 15/69 (Time: 0.44s, Estimated remaining: 31.50s)
2025-02-19 15:31:52,426 - INFO - Processed chunk 16/69 (Time: 0.55s, Estimated remaining: 30.79s)
2025-02-19 15:31:52,804 - INFO - Processed chunk 17/69 (Time: 0.38s, Estimated remaining: 29.59s)
2025-02-19 15:31:53,207 - INFO - Processed chunk 18/69 (Time: 0.40s, Estimated remaining: 28.55s)
2025-02-19 15:31:53,584 - INFO - Processed chunk 19/69 (Time: 0.38s, Estimated remaining: 27.51s)
2025-02-19 15:31:53,936 - INFO - Processed chunk 20/69 (Time: 0.35s, Estimated remaining: 26.47s)
2025-02-19 15:31:54,405 - INFO - Processed chunk 21/69 (Time: 0.47s, Estimated remaining: 25.77s)
2025-02-19 15:31:54,812 - INFO - Processed chunk 22/69 (Time: 0.41s, Estimated remaining: 24.96s)
2025-02-19 15:31:55,338 - INFO - Processed chunk 23/69 (Time: 0.53s, Estimated remaining: 24.41s)
2025-02-19 15:31:55,778 - INFO - Processed chunk 24/69 (Time: 0.44s, Estimated remaining: 23.71s)
2025-02-19 15:31:56,167 - INFO - Processed chunk 25/69 (Time: 0.39s, Estimated remaining: 22.94s)
2025-02-19 15:31:56,698 - INFO - Processed chunk 26/69 (Time: 0.53s, Estimated remaining: 22.44s)
2025-02-19 15:31:57,117 - INFO - Processed chunk 27/69 (Time: 0.42s, Estimated remaining: 21.76s)
2025-02-19 15:31:57,555 - INFO - Processed chunk 28/69 (Time: 0.44s, Estimated remaining: 21.12s)
2025-02-19 15:31:57,979 - INFO - Processed chunk 29/69 (Time: 0.42s, Estimated remaining: 20.48s)
2025-02-19 15:31:58,412 - INFO - Processed chunk 30/69 (Time: 0.43s, Estimated remaining: 19.87s)
2025-02-19 15:31:58,834 - INFO - Processed chunk 31/69 (Time: 0.42s, Estimated remaining: 19.25s)
2025-02-19 15:31:59,227 - INFO - Processed chunk 32/69 (Time: 0.39s, Estimated remaining: 18.61s)
2025-02-19 15:31:59,655 - INFO - Processed chunk 33/69 (Time: 0.43s, Estimated remaining: 18.03s)
2025-02-19 15:32:00,041 - INFO - Processed chunk 34/69 (Time: 0.39s, Estimated remaining: 17.41s)
2025-02-19 15:32:00,425 - INFO - Processed chunk 35/69 (Time: 0.38s, Estimated remaining: 16.80s)
2025-02-19 15:32:00,886 - INFO - Processed chunk 36/69 (Time: 0.46s, Estimated remaining: 16.28s)
2025-02-19 15:32:01,375 - INFO - Processed chunk 37/69 (Time: 0.49s, Estimated remaining: 15.78s)
2025-02-19 15:32:01,779 - INFO - Processed chunk 38/69 (Time: 0.40s, Estimated remaining: 15.21s)
2025-02-19 15:32:02,191 - INFO - Processed chunk 39/69 (Time: 0.41s, Estimated remaining: 14.66s)
2025-02-19 15:32:02,604 - INFO - Processed chunk 40/69 (Time: 0.41s, Estimated remaining: 14.12s)
2025-02-19 15:32:02,991 - INFO - Processed chunk 41/69 (Time: 0.39s, Estimated remaining: 13.56s)
2025-02-19 15:32:03,440 - INFO - Processed chunk 42/69 (Time: 0.45s, Estimated remaining: 13.06s)
2025-02-19 15:32:03,864 - INFO - Processed chunk 43/69 (Time: 0.42s, Estimated remaining: 12.54s)
2025-02-19 15:32:04,318 - INFO - Processed chunk 44/69 (Time: 0.45s, Estimated remaining: 12.04s)
2025-02-19 15:32:04,771 - INFO - Processed chunk 45/69 (Time: 0.45s, Estimated remaining: 11.54s)
2025-02-19 15:32:05,208 - INFO - Processed chunk 46/69 (Time: 0.44s, Estimated remaining: 11.04s)
2025-02-19 15:32:05,608 - INFO - Processed chunk 47/69 (Time: 0.40s, Estimated remaining: 10.52s)
2025-02-19 15:32:06,014 - INFO - Processed chunk 48/69 (Time: 0.41s, Estimated remaining: 10.01s)
2025-02-19 15:32:06,434 - INFO - Processed chunk 49/69 (Time: 0.42s, Estimated remaining: 9.51s)
2025-02-19 15:32:06,877 - INFO - Processed chunk 50/69 (Time: 0.44s, Estimated remaining: 9.02s)
2025-02-19 15:32:07,333 - INFO - Processed chunk 51/69 (Time: 0.46s, Estimated remaining: 8.54s)
2025-02-19 15:32:07,839 - INFO - Processed chunk 52/69 (Time: 0.51s, Estimated remaining: 8.08s)
2025-02-19 15:32:08,397 - INFO - Processed chunk 53/69 (Time: 0.56s, Estimated remaining: 7.63s)
2025-02-19 15:32:08,829 - INFO - Processed chunk 54/69 (Time: 0.43s, Estimated remaining: 7.14s)
2025-02-19 15:32:09,271 - INFO - Processed chunk 55/69 (Time: 0.44s, Estimated remaining: 6.65s)
2025-02-19 15:32:09,760 - INFO - Processed chunk 56/69 (Time: 0.49s, Estimated remaining: 6.18s)
2025-02-19 15:32:10,360 - INFO - Processed chunk 57/69 (Time: 0.60s, Estimated remaining: 5.73s)
2025-02-19 15:32:10,898 - INFO - Processed chunk 58/69 (Time: 0.54s, Estimated remaining: 5.27s)
2025-02-19 15:32:11,463 - INFO - Processed chunk 59/69 (Time: 0.57s, Estimated remaining: 4.80s)
2025-02-19 15:32:12,000 - INFO - Processed chunk 60/69 (Time: 0.54s, Estimated remaining: 4.33s)
2025-02-19 15:32:12,583 - INFO - Processed chunk 61/69 (Time: 0.58s, Estimated remaining: 3.86s)
2025-02-19 15:32:13,103 - INFO - Processed chunk 62/69 (Time: 0.52s, Estimated remaining: 3.38s)
2025-02-19 15:32:13,808 - INFO - Processed chunk 63/69 (Time: 0.70s, Estimated remaining: 2.92s)
2025-02-19 15:32:14,474 - INFO - Processed chunk 64/69 (Time: 0.67s, Estimated remaining: 2.45s)
2025-02-19 15:32:15,071 - INFO - Processed chunk 65/69 (Time: 0.60s, Estimated remaining: 1.97s)
2025-02-19 15:32:15,686 - INFO - Processed chunk 66/69 (Time: 0.61s, Estimated remaining: 1.48s)
2025-02-19 15:32:16,225 - INFO - Processed chunk 67/69 (Time: 0.54s, Estimated remaining: 0.99s)
2025-02-19 15:32:16,869 - INFO - Processed chunk 68/69 (Time: 0.64s, Estimated remaining: 0.50s)
2025-02-19 15:32:17,246 - INFO - Processed chunk 69/69 (Time: 0.38s, Estimated remaining: 0.00s)
2025-02-19 15:32:17,246 - INFO - Embedding computation completed in 34.12 seconds
2025-02-19 15:32:17,246 - INFO - Initialization complete
