2025-02-20 05:39:12,909 - INFO - Use pytorch device_name: cpu
2025-02-20 05:39:12,910 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-02-20 05:39:16,115 - INFO - Loading text file...
2025-02-20 05:39:16,136 - INFO - Chunking text...
2025-02-20 05:39:16,138 - INFO - Computing embeddings...
2025-02-20 05:39:16,138 - INFO - Starting embedding computation for 69 chunks
2025-02-20 05:39:17,818 - INFO - Processed chunk 1/69 (Time: 1.68s, Estimated remaining: 114.20s)
2025-02-20 05:39:18,317 - INFO - Processed chunk 2/69 (Time: 0.50s, Estimated remaining: 72.98s)
2025-02-20 05:39:19,434 - INFO - Processed chunk 3/69 (Time: 1.12s, Estimated remaining: 72.51s)
2025-02-20 05:39:20,362 - INFO - Processed chunk 4/69 (Time: 0.93s, Estimated remaining: 68.65s)
2025-02-20 05:39:21,366 - INFO - Processed chunk 5/69 (Time: 1.00s, Estimated remaining: 66.91s)
2025-02-20 05:39:22,290 - INFO - Processed chunk 6/69 (Time: 0.92s, Estimated remaining: 64.59s)
2025-02-20 05:39:23,329 - INFO - Processed chunk 7/69 (Time: 1.04s, Estimated remaining: 63.69s)
2025-02-20 05:39:24,393 - INFO - Processed chunk 8/69 (Time: 1.06s, Estimated remaining: 62.94s)
2025-02-20 05:39:25,428 - INFO - Processed chunk 9/69 (Time: 1.03s, Estimated remaining: 61.93s)
2025-02-20 05:39:26,399 - INFO - Processed chunk 10/69 (Time: 0.97s, Estimated remaining: 60.54s)
2025-02-20 05:39:27,411 - INFO - Processed chunk 11/69 (Time: 1.01s, Estimated remaining: 59.44s)
2025-02-20 05:39:28,501 - INFO - Processed chunk 12/69 (Time: 1.09s, Estimated remaining: 58.72s)
2025-02-20 05:39:29,675 - INFO - Processed chunk 13/69 (Time: 1.17s, Estimated remaining: 58.31s)
2025-02-20 05:39:30,488 - INFO - Processed chunk 14/69 (Time: 0.81s, Estimated remaining: 56.38s)
2025-02-20 05:39:30,877 - INFO - Processed chunk 15/69 (Time: 0.39s, Estimated remaining: 53.06s)
2025-02-20 05:39:31,406 - INFO - Processed chunk 16/69 (Time: 0.53s, Estimated remaining: 50.57s)
2025-02-20 05:39:31,818 - INFO - Processed chunk 17/69 (Time: 0.41s, Estimated remaining: 47.96s)
2025-02-20 05:39:32,184 - INFO - Processed chunk 18/69 (Time: 0.37s, Estimated remaining: 45.46s)
2025-02-20 05:39:32,553 - INFO - Processed chunk 19/69 (Time: 0.37s, Estimated remaining: 43.20s)
2025-02-20 05:39:32,921 - INFO - Processed chunk 20/69 (Time: 0.37s, Estimated remaining: 41.12s)
2025-02-20 05:39:33,338 - INFO - Processed chunk 21/69 (Time: 0.42s, Estimated remaining: 39.31s)
2025-02-20 05:39:33,828 - INFO - Processed chunk 22/69 (Time: 0.49s, Estimated remaining: 37.79s)
2025-02-20 05:39:34,319 - INFO - Processed chunk 23/69 (Time: 0.49s, Estimated remaining: 36.36s)
2025-02-20 05:39:34,719 - INFO - Processed chunk 24/69 (Time: 0.40s, Estimated remaining: 34.84s)
2025-02-20 05:39:35,087 - INFO - Processed chunk 25/69 (Time: 0.37s, Estimated remaining: 33.35s)
2025-02-20 05:39:35,509 - INFO - Processed chunk 26/69 (Time: 0.42s, Estimated remaining: 32.04s)
2025-02-20 05:39:35,883 - INFO - Processed chunk 27/69 (Time: 0.37s, Estimated remaining: 30.71s)
2025-02-20 05:39:36,262 - INFO - Processed chunk 28/69 (Time: 0.38s, Estimated remaining: 29.47s)
2025-02-20 05:39:36,703 - INFO - Processed chunk 29/69 (Time: 0.44s, Estimated remaining: 28.37s)
2025-02-20 05:39:37,109 - INFO - Processed chunk 30/69 (Time: 0.41s, Estimated remaining: 27.26s)
2025-02-20 05:39:37,530 - INFO - Processed chunk 31/69 (Time: 0.42s, Estimated remaining: 26.22s)
2025-02-20 05:39:37,903 - INFO - Processed chunk 32/69 (Time: 0.37s, Estimated remaining: 25.17s)
2025-02-20 05:39:38,277 - INFO - Processed chunk 33/69 (Time: 0.37s, Estimated remaining: 24.15s)
2025-02-20 05:39:38,671 - INFO - Processed chunk 34/69 (Time: 0.39s, Estimated remaining: 23.20s)
2025-02-20 05:39:39,069 - INFO - Processed chunk 35/69 (Time: 0.40s, Estimated remaining: 22.28s)
2025-02-20 05:39:39,459 - INFO - Processed chunk 36/69 (Time: 0.39s, Estimated remaining: 21.38s)
2025-02-20 05:39:40,111 - INFO - Processed chunk 37/69 (Time: 0.65s, Estimated remaining: 20.73s)
2025-02-20 05:39:40,594 - INFO - Processed chunk 38/69 (Time: 0.48s, Estimated remaining: 19.95s)
2025-02-20 05:39:41,077 - INFO - Processed chunk 39/69 (Time: 0.48s, Estimated remaining: 19.18s)
2025-02-20 05:39:41,523 - INFO - Processed chunk 40/69 (Time: 0.45s, Estimated remaining: 18.40s)
2025-02-20 05:39:41,959 - INFO - Processed chunk 41/69 (Time: 0.44s, Estimated remaining: 17.63s)
2025-02-20 05:39:42,395 - INFO - Processed chunk 42/69 (Time: 0.44s, Estimated remaining: 16.88s)
2025-02-20 05:39:42,863 - INFO - Processed chunk 43/69 (Time: 0.47s, Estimated remaining: 16.16s)
2025-02-20 05:39:43,337 - INFO - Processed chunk 44/69 (Time: 0.47s, Estimated remaining: 15.45s)
2025-02-20 05:39:43,792 - INFO - Processed chunk 45/69 (Time: 0.45s, Estimated remaining: 14.75s)
2025-02-20 05:39:44,246 - INFO - Processed chunk 46/69 (Time: 0.45s, Estimated remaining: 14.05s)
2025-02-20 05:39:44,667 - INFO - Processed chunk 47/69 (Time: 0.42s, Estimated remaining: 13.35s)
2025-02-20 05:39:45,098 - INFO - Processed chunk 48/69 (Time: 0.43s, Estimated remaining: 12.67s)
2025-02-20 05:39:45,470 - INFO - Processed chunk 49/69 (Time: 0.37s, Estimated remaining: 11.97s)
2025-02-20 05:39:45,868 - INFO - Processed chunk 50/69 (Time: 0.40s, Estimated remaining: 11.30s)
2025-02-20 05:39:46,268 - INFO - Processed chunk 51/69 (Time: 0.40s, Estimated remaining: 10.63s)
2025-02-20 05:39:46,678 - INFO - Processed chunk 52/69 (Time: 0.41s, Estimated remaining: 9.98s)
2025-02-20 05:39:47,065 - INFO - Processed chunk 53/69 (Time: 0.39s, Estimated remaining: 9.34s)
2025-02-20 05:39:47,414 - INFO - Processed chunk 54/69 (Time: 0.35s, Estimated remaining: 8.69s)
2025-02-20 05:39:47,841 - INFO - Processed chunk 55/69 (Time: 0.43s, Estimated remaining: 8.07s)
2025-02-20 05:39:48,379 - INFO - Processed chunk 56/69 (Time: 0.54s, Estimated remaining: 7.48s)
2025-02-20 05:39:48,815 - INFO - Processed chunk 57/69 (Time: 0.44s, Estimated remaining: 6.88s)
2025-02-20 05:39:49,212 - INFO - Processed chunk 58/69 (Time: 0.40s, Estimated remaining: 6.27s)
2025-02-20 05:39:49,629 - INFO - Processed chunk 59/69 (Time: 0.42s, Estimated remaining: 5.68s)
